"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races","Margin of Error!!Total:!!Two or more races",
"0400000US06","California","39512223","*****","23484958","66457","2282144","17125","321112","15788","5865435","20041","155871","5626","5424558","70153","1978145","33931",
"0500000US06001","Alameda County, California","1671329","*****","649209","10221","178246","3412","12648","2525","520313","5941","13503","885","191329","10925","106081","8046",
"0500000US06005","Amador County, California","39752","*****","33089","728","1301","409","847","721","662","226","0","216","1882","870","1971","699",
"0500000US06007","Butte County, California","219186","*****","175765","3185","3984","1109","2333","1140","10365","1523","798","498","12272","3364","13669","2499",
"0500000US06009","Calaveras County, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US06011","Colusa County, California","21547","*****","18865","1332","596","642","467","419","168","220","4","11","449","447","998","556",
"0500000US06013","Contra Costa County, California","1153526","*****","600481","9082","101590","3387","5863","1860","205366","4366","4625","1525","162355","10235","73246","6710",
"0500000US06015","Del Norte County, California","27812","*****","21394","1834","711","513","1569","578","452","423","109","114","2164","1481","1413","813",
"0500000US06017","El Dorado County, California","192843","*****","167011","2344","1644","463","2540","1123","10114","885","125","153","4845","2274","6564","1397",
"0500000US06019","Fresno County, California","999101","*****","638792","12728","47391","2890","13588","3115","104859","3713","1953","304","152697","12404","39821","3741",
"0500000US06021","Glenn County, California","28393","*****","23194","1662","69","94","739","239","281","319","25","66","1988","1289","2097","929",
"0500000US06023","Humboldt County, California","135558","*****","106738","1981","2059","644","7073","1584","3525","764","539","721","4906","1822","10718","2476",
"0500000US06025","Imperial County, California","181215","*****","125807","6014","3979","877","3791","1540","2589","378","0","216","41162","5837","3887","1590",
"0500000US06029","Kern County, California","900202","*****","645240","12102","46432","3427","8906","2818","42066","2848","907","467","122148","12288","34503","6000",
"0500000US06031","Kings County, California","152940","*****","115128","3706","8635","988","2804","1341","5104","885","460","661","13840","3202","6969","2008",
"0500000US06033","Lake County, California","64386","*****","50669","2577","1247","454","2540","1251","499","425","27","50","6062","2539","3342","1748",
"0500000US06035","Lassen County, California","30573","*****","24267","410","3166","612","1088","391","409","139","473","413","438","285","732","418",
"0500000US06037","Los Angeles County, California","10039107","*****","5234081","34078","811176","9999","81491","9004","1474713","9381","26307","2362","1997842","37344","413497","15421",
"0500000US06039","Madera County, California","157327","*****","107073","6008","4138","1439","1810","661","3838","586","1131","1296","35503","6007","3834","1240",
"0500000US06041","Marin County, California","258826","*****","204109","3833","7058","1175","1534","1450","16663","1503","273","279","18564","3812","10625","2130",
"0500000US06043","Mariposa County, California","21872","2106","17973","1936","604","506","562","756","200","257","0","216","635","527","1898","897",
"0500000US06045","Mendocino County, California","86749","*****","73467","2048","823","693","4610","1238","1954","270","135","166","2696","1651","3064","954",
"0500000US06047","Merced County, California","277680","*****","141038","8057","9337","907","2821","1107","20581","1225","34","58","95138","8140","8731","2167",
"0500000US06053","Monterey County, California","434061","*****","196483","7837","12231","1095","2057","800","26860","1993","1288","897","178002","7908","17140","2512",
"0500000US06055","Napa County, California","137744","*****","101380","3541","3314","510","815","589","11552","906","271","279","14604","3606","5808","1431",
"0500000US06057","Nevada County, California","99755","*****","92832","1195","310","280","487","491","1243","712","342","479","314","319","4227","1149",
"0500000US06059","Orange County, California","3175692","*****","1881453","18145","55517","3229","12961","2734","672223","6075","11166","1629","410006","17970","132366","9247",
"0500000US06061","Placer County, California","398329","*****","329697","2636","7771","1167","2238","732","32784","1783","700","430","5421","1768","19718","2576",
"0500000US06065","Riverside County, California","2470546","*****","1478117","22778","163542","5169","20934","2970","172785","5244","8695","1351","517882","22957","108591","9088",
"0500000US06067","Sacramento County, California","1552058","*****","859356","11020","148840","6032","11004","2577","250836","5867","19153","689","138724","10391","124145","9182",
"0500000US06069","San Benito County, California","62808","*****","51286","2542","550","479","761","778","2092","815","11","20","4667","2207","3441","1507",
"0500000US06071","San Bernardino County, California","2180085","*****","1351926","19123","181122","6792","17061","2855","160336","3361","8247","1747","346772","19715","114621","10275",
"0500000US06073","San Diego County, California","3338330","*****","2368310","14312","164475","5632","23116","3600","404836","6462","13736","1776","177471","12542","186386","11703",
"0500000US06075","San Francisco County, California","881549","*****","398662","6153","48225","1820","3568","1254","307649","3361","3785","410","69536","6308","50124","5134",
"0500000US06077","San Joaquin County, California","762148","*****","431364","10711","52493","3126","4831","1902","123090","3823","5279","472","55774","8211","89317","9790",
"0500000US06079","San Luis Obispo County, California","283111","*****","242058","3963","5107","1010","3475","2048","11041","823","253","249","11291","3543","9886","1890",
"0500000US06081","San Mateo County, California","766573","*****","381129","9053","17625","1438","3330","1382","230398","3605","9496","1288","84658","8996","39937","4238",
"0500000US06083","Santa Barbara County, California","446499","*****","343029","7860","9809","1339","5079","2218","25843","1211","447","359","46682","7205","15610","2795",
"0500000US06085","Santa Clara County, California","1927852","*****","870226","14395","49308","2912","8607","2085","726712","5211","7082","1059","163090","13379","102827","7806",
"0500000US06087","Santa Cruz County, California","273213","*****","210821","6719","4743","2526","1460","983","14422","1250","212","253","27687","6338","13868","2142",
"0500000US06089","Shasta County, California","180080","*****","154887","1995","1878","962","4027","1069","6316","792","550","732","4133","1744","8289","2068",
"0500000US06093","Siskiyou County, California","43539","*****","36815","762","805","164","2305","566","671","457","17","29","858","610","2068","762",
"0500000US06095","Solano County, California","447643","*****","240947","6824","61052","2549","2450","1305","69555","2557","4125","712","35039","5767","34475","4698",
"0500000US06097","Sonoma County, California","494336","*****","364751","8080","7410","1258","4392","1790","20748","2107","1864","336","67532","7729","27639","4074",
"0500000US06099","Stanislaus County, California","550660","*****","442681","5311","16542","1828","4230","1347","32487","1957","3363","1397","29002","4215","22355","3464",
"0500000US06101","Sutter County, California","96971","*****","65941","3134","1793","481","906","423","15955","1317","184","216","4888","2302","7304","2624",
"0500000US06103","Tehama County, California","65084","*****","55148","2861","224","334","472","315","1166","215","46","90","3990","2793","4038","1205",
"0500000US06107","Tulare County, California","466195","*****","314748","11811","6811","1782","7103","2872","16248","1230","862","159","99210","11515","21213","5023",
"0500000US06109","Tuolumne County, California","54478","*****","48193","758","1230","625","718","486","615","222","196","244","1620","652","1906","703",
"0500000US06111","Ventura County, California","846006","*****","678174","8500","15510","1364","5745","2007","63728","2383","1139","641","43078","7547","38632","4660",
"0500000US06113","Yolo County, California","220500","*****","158079","2885","6192","866","2204","546","32179","1746","1073","233","9238","2406","11535","2192",
"0500000US06115","Yuba County, California","78668","*****","62576","1441","2677","782","494","525","4235","1325","645","526","1838","1069","6203","1491",
