"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US06","California","13434847","19805","7494811","38685","5940036","23772",
"0500000US06001","Alameda County, California","593117","1676","320712","2874","272405","2581",
"0500000US06003","Alpine County, California","473","103","383","92","90","52",
"0500000US06005","Amador County, California","16066","341","12863","457","3203","472",
"0500000US06007","Butte County, California","82345","797","47987","1099","34358","1058",
"0500000US06009","Calaveras County, California","17897","567","15099","612","2798","394",
"0500000US06011","Colusa County, California","7466","230","4646","371","2820","383",
"0500000US06013","Contra Costa County, California","411662","1106","278509","2405","133153","2394",
"0500000US06015","Del Norte County, California","9621","256","6851","349","2770","308",
"0500000US06017","El Dorado County, California","75719","788","57838","1010","17881","1044",
"0500000US06019","Fresno County, California","322163","1128","178533","2162","143630","2232",
"0500000US06021","Glenn County, California","9763","270","6157","448","3606","459",
"0500000US06023","Humboldt County, California","54878","651","30879","804","23999","948",
"0500000US06025","Imperial County, California","48844","774","27732","1004","21112","982",
"0500000US06027","Inyo County, California","7923","216","5316","266","2607","315",
"0500000US06029","Kern County, California","281416","1216","168321","2101","113095","2093",
"0500000US06031","Kings County, California","43736","417","23976","789","19760","838",
"0500000US06033","Lake County, California","26364","620","18701","786","7663","684",
"0500000US06035","Lassen County, California","9060","314","6180","306","2880","318",
"0500000US06037","Los Angeles County, California","3390254","6035","1562207","10546","1828047","7874",
"0500000US06039","Madera County, California","44513","569","29168","821","15345","734",
"0500000US06041","Marin County, California","103201","828","65927","1062","37274","1232",
"0500000US06043","Mariposa County, California","7515","315","5616","312","1899","299",
"0500000US06045","Mendocino County, California","34570","618","21044","841","13526","810",
"0500000US06047","Merced County, California","84605","603","45097","1332","39508","1329",
"0500000US06049","Modoc County, California","3264","240","2524","212","740","210",
"0500000US06051","Mono County, California","5521","390","3819","419","1702","353",
"0500000US06053","Monterey County, California","132046","784","69033","1333","63013","1297",
"0500000US06055","Napa County, California","49663","500","31985","720","17678","684",
"0500000US06057","Nevada County, California","41873","726","31170","775","10703","693",
"0500000US06059","Orange County, California","1074654","2589","606605","5158","468049","4101",
"0500000US06061","Placer County, California","155422","928","115446","1200","39976","1232",
"0500000US06063","Plumas County, California","8055","367","6024","358","2031","350",
"0500000US06065","Riverside County, California","762234","2214","524872","3466","237362","3150",
"0500000US06067","Sacramento County, California","568223","1146","333143","3157","235080","3191",
"0500000US06069","San Benito County, California","20188","199","13613","495","6575","533",
"0500000US06071","San Bernardino County, California","668004","1889","411081","3415","256923","3431",
"0500000US06073","San Diego County, California","1159822","3036","632194","4969","527628","4315",
"0500000US06075","San Francisco County, California","362650","1987","139610","2500","223040","2498",
"0500000US06077","San Joaquin County, California","241373","1040","148522","1919","92851","1831",
"0500000US06079","San Luis Obispo County, California","108897","962","67403","1415","41494","1410",
"0500000US06081","San Mateo County, California","264424","1312","156244","1956","108180","1807",
"0500000US06083","Santa Barbara County, California","148960","803","78754","1242","70206","1266",
"0500000US06085","Santa Clara County, California","654467","1701","361910","3463","292557","3015",
"0500000US06087","Santa Cruz County, California","96873","848","58102","999","38771","1404",
"0500000US06089","Shasta County, California","71473","636","46711","995","24762","1127",
"0500000US06091","Sierra County, California","1206","166","944","124","262","123",
"0500000US06093","Siskiyou County, California","18907","351","13179","464","5728","418",
"0500000US06095","Solano County, California","155800","804","98510","1231","57290","1185",
"0500000US06097","Sonoma County, California","190498","860","118489","1602","72009","1515",
"0500000US06099","Stanislaus County, California","176457","786","107644","1643","68813","1748",
"0500000US06101","Sutter County, California","33240","304","19672","735","13568","677",
"0500000US06103","Tehama County, California","24526","462","16574","613","7952","606",
"0500000US06105","Trinity County, California","5373","256","3924","352","1449","359",
"0500000US06107","Tulare County, California","142026","763","83253","1790","58773","1790",
"0500000US06109","Tuolumne County, California","22809","548","16912","649","5897","610",
"0500000US06111","Ventura County, California","278045","1081","178388","1984","99657","2009",
"0500000US06113","Yolo County, California","76640","527","41046","869","35594","1004",
"0500000US06115","Yuba County, California","28063","356","17769","602","10294","662",
